jurisdiccion,ambito,tipo_gestion,nivel_desempeno,porcentaje,anio_evaluacion,nivel_educativo,anio_escolar
Santa Cruz,Rural,Estatal,Satisfactorio,15.40874813503682,2024,Secundario,5to año / 6to año
Santa Cruz,Urbano,Estatal,Satisfactorio,10.398624933372222,2024,Secundario,5to año / 6to año
Santa Cruz,Urbano,Privado,Satisfactorio,23.27353865530123,2024,Secundario,5to año / 6to año
Santa Fe,Rural,Estatal,Satisfactorio,10.91961527789901,2024,Secundario,5to año / 6to año
Santa Fe,Rural,Privado,Satisfactorio,22.51682549087054,2024,Secundario,5to año / 6to año
Santa Fe,Urbano,Estatal,Satisfactorio,14.793611615997513,2024,Secundario,5to año / 6to año
Santa Fe,Urbano,Privado,Satisfactorio,27.36012013668276,2024,Secundario,5to año / 6to año
Santiago del Estero,Rural,Estatal,Satisfactorio,11.028517581299429,2024,Secundario,5to año / 6to año
Santiago del Estero,Rural,Privado,Satisfactorio,3.06595374027615,2024,Secundario,5to año / 6to año
Santiago del Estero,Urbano,Estatal,Satisfactorio,5.615543621899048,2024,Secundario,5to año / 6to año
Santiago del Estero,Urbano,Privado,Satisfactorio,12.388369515714516,2024,Secundario,5to año / 6to año
"Tierra del Fuego, Antártida e Islas del Atlántico Sur",Rural,Estatal,Satisfactorio,0.0,2024,Secundario,5to año / 6to año
"Tierra del Fuego, Antártida e Islas del Atlántico Sur",Urbano,Estatal,Satisfactorio,12.325144591908307,2024,Secundario,5to año / 6to año
"Tierra del Fuego, Antártida e Islas del Atlántico Sur",Urbano,Privado,Satisfactorio,31.527925078430215,2024,Secundario,5to año / 6to año
Tucumán,Rural,Estatal,Satisfactorio,4.985049252054065,2024,Secundario,5to año / 6to año
Tucumán,Rural,Privado,Satisfactorio,10.967501846939772,2024,Secundario,5to año / 6to año
Tucumán,Urbano,Estatal,Satisfactorio,8.415445628992881,2024,Secundario,5to año / 6to año
Tucumán,Urbano,Privado,Satisfactorio,23.44114538795803,2024,Secundario,5to año / 6to año
Buenos Aires,Rural,Estatal,Avanzado,0.02708016979961444,2024,Secundario,5to año / 6to año
Buenos Aires,Rural,Privado,Avanzado,0.132994696021121,2024,Secundario,5to año / 6to año
Buenos Aires,Urbano,Estatal,Avanzado,0.04827280702949381,2024,Secundario,5to año / 6to año
Buenos Aires,Urbano,Privado,Avanzado,0.24622867007511803,2024,Secundario,5to año / 6to año
Catamarca,Rural,Estatal,Avanzado,0.0,2024,Secundario,5to año / 6to año
Catamarca,Urbano,Estatal,Avanzado,0.0,2024,Secundario,5to año / 6to año
Catamarca,Urbano,Privado,Avanzado,0.09999191677502836,2024,Secundario,5to año / 6to año
Chaco,Rural,Estatal,Avanzado,0.2864329116675495,2024,Secundario,5to año / 6to año
Chaco,Rural,Privado,Avanzado,0.0,2024,Secundario,5to año / 6to año
Chaco,Urbano,Estatal,Avanzado,0.012776017970352735,2024,Secundario,5to año / 6to año
Chaco,Urbano,Privado,Avanzado,0.03859967087596195,2024,Secundario,5to año / 6to año
Chubut,Rural,Estatal,Avanzado,0.1614160083738896,2024,Secundario,5to año / 6to año
Chubut,Rural,Privado,Avanzado,0.0,2024,Secundario,5to año / 6to año
Chubut,Urbano,Estatal,Avanzado,0.026115846734686025,2024,Secundario,5to año / 6to año
Chubut,Urbano,Privado,Avanzado,0.2521274105402476,2024,Secundario,5to año / 6to año
Ciudad Autónoma de Buenos Aires,Urbano,Estatal,Avanzado,0.4440329169318268,2024,Secundario,5to año / 6to año
Ciudad Autónoma de Buenos Aires,Urbano,Privado,Avanzado,0.6597604393499485,2024,Secundario,5to año / 6to año
Corrientes,Rural,Estatal,Avanzado,0.0,2024,Secundario,5to año / 6to año
Corrientes,Rural,Privado,Avanzado,0.0,2024,Secundario,5to año / 6to año
Corrientes,Urbano,Estatal,Avanzado,0.050330742395480174,2024,Secundario,5to año / 6to año
Corrientes,Urbano,Privado,Avanzado,0.18003735519195133,2024,Secundario,5to año / 6to año
Córdoba,Rural,Estatal,Avanzado,0.08190565734488256,2024,Secundario,5to año / 6to año
Córdoba,Rural,Privado,Avanzado,0.0,2024,Secundario,5to año / 6to año
Córdoba,Urbano,Estatal,Avanzado,0.09668658328031088,2024,Secundario,5to año / 6to año
